book,map,subheading,placename,longitude,longitude-min,latitude,latitude-min
2,tabula prima europae,Hiberniae Insulae,Boreum Promõtorium.,11,,61,0
2,tabula prima europae,Hiberniae Insulae,Venicniũ Promont.,12,50,61,20
2,tabula prima europae,Hiberniae Insulae,,13,,61,
2,tabula prima europae,Hiberniae Insulae,,14,30,61,30
2,tabula prima europae,Hiberniae Insulae,,16,20,61,30
2,tabula prima europae,Hiberniae Insulae,,11,,61,
2,tabula prima europae,Hiberniae Insulae,,11,20,61,20
2,tabula prima europae,Hiberniae Insulae,,11,15,60,15
2,tabula prima europae,Hiberniae Insulae,,10,30,60,
2,tabula prima europae,Hiberniae Insulae,,10,30,59,30
2,tabula prima europae,Hiberniae Insulae,,9,30,59,30
2,tabula prima europae,Hiberniae Insulae,,9,40,58,40
2,tabula prima europae,Hiberniae Insulae,,8,,58,
2,tabula prima europae,Hiberniae Insulae,,7,40,57,45
2,tabula prima europae,Hiberniae Insulae,,11,15,57,0
2,tabula prima europae,Hiberniae Insulae,,12,30,57,30
2,tabula prima europae,Hiberniae Insulae,,14,,57,30
2,tabula prima europae,Hiberniae Insulae,,14,,57,30
2,tabula prima europae,Hiberniae Insulae,,13,40,58,40
2,tabula prima europae,Hiberniae Insulae,,13,30,58,40
2,tabula prima europae,Hiberniae Insulae,,13,12,59,
2,tabula prima europae,Hiberniae Insulae,,14,,59,30
2,tabula prima europae,Hiberniae Insulae,,14,40,59,40
2,tabula prima europae,Hiberniae Insulae,,15,,60,
2,tabula prima europae,Hiberniae Insulae,,15,,60,15
2,tabula prima europae,Hiberniae Insulae,,15,20,60,40
2,tabula prima europae,Hiberniae Insulae,,13,,60,20
2,tabula prima europae,Hiberniae Insulae,,12,,59,45
2,tabula prima europae,Hiberniae Insulae,,13,,59,15
2,tabula prima europae,Hiberniae Insulae,,11,30,58,40
2,tabula prima europae,Hiberniae Insulae,,11,,59,30
2,tabula prima europae,Hiberniae Insulae,,12,20,58,45
2,tabula prima europae,Hiberniae Insulae,,11,,58,10
2,tabula prima europae,Hiberniae Insulae,,15,,62,
2,tabula prima europae,Hiberniae Insulae,,15,40,62,0
2,tabula prima europae,Hiberniae Insulae,,17,,62,
2,tabula prima europae,Hiberniae Insulae,,17,30,62,10
2,tabula prima europae,Hiberniae Insulae,,18,30,62,0
2,tabula prima europae,Hiberniae Insulae,,17,40,61,30
2,tabula prima europae,Hiberniae Insulae,,15,,57,40
2,tabula prima europae,Hiberniae Insulae,,15,,59,30
